codigo_dane,departamento,municipio,mandatario,correo,fuente
05001,Antioquia,Medellín,,alcaldia@medellin.gov.co
05002,Antioquia,Abejorral,,alcaldia@abejorral.gov.co
05004,Antioquia,Abriaquí,,alcaldia@abriaqui.gov.co
05021,Antioquia,Alejandría,,alcaldia@alejandria.gov.co
05030,Antioquia,Amagá,,alcaldia@amaga.gov.co
05031,Antioquia,Amalfi,,alcaldia@amalfi.gov.co
05034,Antioquia,Andes,,alcaldia@andes.gov.co
05036,Antioquia,Angelópolis,,alcaldia@angelopolis.gov.co
05038,Antioquia,Angostura,,alcaldia@angostura.gov.co
05040,Antioquia,Anorí,,alcaldia@anori.gov.co
05042,Antioquia,Santafé de Antioquia,,alcaldia@santafedeantioquia.gov.co
05044,Antioquia,Anza,,alcaldia@anza.gov.co
05045,Antioquia,Apartadó,,alcaldia@apartado.gov.co
05051,Antioquia,Arboletes,,alcaldia@arboletes.gov.co
05055,Antioquia,Argelia,,alcaldia@argelia.gov.co
05059,Antioquia,Armenia,,alcaldia@armenia.gov.co
05079,Antioquia,Barbosa,,alcaldia@barbosa.gov.co
05086,Antioquia,Belmira,,alcaldia@belmira.gov.co
05088,Antioquia,Bello,,alcaldia@bello.gov.co
05091,Antioquia,Betania,,alcaldia@betania.gov.co
05093,Antioquia,Betulia,,alcaldia@betulia.gov.co
05101,Antioquia,Ciudad Bolívar,,alcaldia@ciudadbolivar.gov.co
05107,Antioquia,Briceño,,alcaldia@briceno.gov.co
05113,Antioquia,Buriticá,,alcaldia@buritica.gov.co
05120,Antioquia,Cáceres,,alcaldia@caceres.gov.co
05125,Antioquia,Caicedo,,alcaldia@caicedo.gov.co
05129,Antioquia,Caldas,,alcaldia@caldas.gov.co
05134,Antioquia,Campamento,,alcaldia@campamento.gov.co
05138,Antioquia,Cañasgordas,,alcaldia@canasgordas.gov.co
05142,Antioquia,Caracolí,,alcaldia@caracoli.gov.co
05145,Antioquia,Caramanta,,alcaldia@caramanta.gov.co
05147,Antioquia,Carepa,,alcaldia@carepa.gov.co
05148,Antioquia,El Carmen de Viboral,,alcaldia@elcarmendeviboral.gov.co
05150,Antioquia,Carolina,,alcaldia@carolina.gov.co
05154,Antioquia,Caucasia,,alcaldia@caucasia.gov.co
05172,Antioquia,Chigorodó,,alcaldia@chigorodo.gov.co
05190,Antioquia,Cisneros,,alcaldia@cisneros.gov.co
05197,Antioquia,Cocorná,,alcaldia@cocorna.gov.co
05206,Antioquia,Concepción,,alcaldia@concepcion.gov.co
05209,Antioquia,Concordia,,alcaldia@concordia.gov.co
05212,Antioquia,Copacabana,,alcaldia@copacabana.gov.co
05234,Antioquia,Dabeiba,,alcaldia@dabeiba.gov.co
05237,Antioquia,Don Matías,,alcaldia@donmatias.gov.co
05240,Antioquia,Ebéjico,,alcaldia@ebejico.gov.co
05250,Antioquia,El Bagre,,alcaldia@elbagre.gov.co
05264,Antioquia,Entrerrios,,alcaldia@entrerrios.gov.co
05266,Antioquia,Envigado,,alcaldia@envigado.gov.co
05282,Antioquia,Fredonia,,alcaldia@fredonia.gov.co
05284,Antioquia,Frontino,,alcaldia@frontino.gov.co
05306,Antioquia,Giraldo,,alcaldia@giraldo.gov.co
05308,Antioquia,Girardota,,alcaldia@girardota.gov.co
05310,Antioquia,Gómez Plata,,alcaldia@gomezplata.gov.co
05313,Antioquia,Granada,,alcaldia@granada.gov.co
05315,Antioquia,Guadalupe,,alcaldia@guadalupe.gov.co
05318,Antioquia,Guarne,,alcaldia@guarne.gov.co
05321,Antioquia,Guatapé,,alcaldia@guatape.gov.co
05347,Antioquia,Heliconia,,alcaldia@heliconia.gov.co
05353,Antioquia,Hispania,,alcaldia@hispania.gov.co
05360,Antioquia,Itagui,,alcaldia@itagui.gov.co
05361,Antioquia,Ituango,,alcaldia@ituango.gov.co
05364,Antioquia,Jardín,,alcaldia@jardin.gov.co
05368,Antioquia,Jericó,,alcaldia@jerico.gov.co
05376,Antioquia,La Ceja,,alcaldia@laceja.gov.co
05380,Antioquia,La Estrella,,alcaldia@laestrella.gov.co
05390,Antioquia,La Pintada,,alcaldia@lapintada.gov.co
05400,Antioquia,La Unión,,alcaldia@launion.gov.co
05411,Antioquia,Liborina,,alcaldia@liborina.gov.co
05425,Antioquia,Maceo,,alcaldia@maceo.gov.co
05440,Antioquia,Marinilla,,alcaldia@marinilla.gov.co
05467,Antioquia,Montebello,,alcaldia@montebello.gov.co
05475,Antioquia,Murindó,,alcaldia@murindo.gov.co
05480,Antioquia,Mutatá,,alcaldia@mutata.gov.co
05483,Antioquia,Nariño,,alcaldia@narino.gov.co
05490,Antioquia,Necoclí,,alcaldia@necocli.gov.co
05495,Antioquia,Nechí,,alcaldia@nechi.gov.co
05501,Antioquia,Olaya,,alcaldia@olaya.gov.co
05541,Antioquia,Peñol,,alcaldia@penol.gov.co
05543,Antioquia,Peque,,alcaldia@peque.gov.co
05576,Antioquia,Pueblorrico,,alcaldia@pueblorrico.gov.co
05579,Antioquia,Puerto Berrío,,alcaldia@puertoberrio.gov.co
05585,Antioquia,Puerto Nare,,alcaldia@puertonare.gov.co
05591,Antioquia,Puerto Triunfo,,alcaldia@puertotriunfo.gov.co
05604,Antioquia,Remedios,,alcaldia@remedios.gov.co
05607,Antioquia,Retiro,,alcaldia@retiro.gov.co
05615,Antioquia,Rionegro,,alcaldia@rionegro.gov.co
05628,Antioquia,Sabanalarga,,alcaldia@sabanalarga.gov.co
05631,Antioquia,Sabaneta,,alcaldia@sabaneta.gov.co
05642,Antioquia,Salgar,,alcaldia@salgar.gov.co
05647,Antioquia,San Andrés de Cuerquía,,alcaldia@sanandresdecuerquia.gov.co
05649,Antioquia,San Carlos,,alcaldia@sancarlos.gov.co
05652,Antioquia,San Francisco,,alcaldia@sanfrancisco.gov.co
05656,Antioquia,San Jerónimo,,alcaldia@sanjeronimo.gov.co
05658,Antioquia,San José de La Montaña,,alcaldia@sanjosedelamontana.gov.co
05659,Antioquia,San Juan de Urabá,,alcaldia@sanjuandeuraba.gov.co
05660,Antioquia,San Luis,,alcaldia@sanluis.gov.co
05664,Antioquia,San Pedro,,alcaldia@sanpedro.gov.co
05665,Antioquia,San Pedro de Uraba,,alcaldia@sanpedrodeuraba.gov.co
05667,Antioquia,San Rafael,,alcaldia@sanrafael.gov.co
05670,Antioquia,San Roque,,alcaldia@sanroque.gov.co
05674,Antioquia,San Vicente,,alcaldia@sanvicente.gov.co
05679,Antioquia,Santa Bárbara,,alcaldia@santabarbara.gov.co
05686,Antioquia,Santa Rosa de Osos,,alcaldia@santarosadeosos.gov.co
05690,Antioquia,Santo Domingo,,alcaldia@santodomingo.gov.co
05697,Antioquia,El Santuario,,alcaldia@elsantuario.gov.co
05736,Antioquia,Segovia,,alcaldia@segovia.gov.co
05756,Antioquia,Sonson,,alcaldia@sonson.gov.co
05761,Antioquia,Sopetrán,,alcaldia@sopetran.gov.co
05789,Antioquia,Támesis,,alcaldia@tamesis.gov.co
05790,Antioquia,Tarazá,,alcaldia@taraza.gov.co
05792,Antioquia,Tarso,,alcaldia@tarso.gov.co
05809,Antioquia,Titiribí,,alcaldia@titiribi.gov.co
05819,Antioquia,Toledo,,alcaldia@toledo.gov.co
05837,Antioquia,Turbo,,alcaldia@turbo.gov.co
05842,Antioquia,Uramita,,alcaldia@uramita.gov.co
05847,Antioquia,Urrao,,alcaldia@urrao.gov.co
05854,Antioquia,Valdivia,,alcaldia@valdivia.gov.co
05856,Antioquia,Valparaíso,,alcaldia@valparaiso.gov.co
05858,Antioquia,Vegachí,,alcaldia@vegachi.gov.co
05861,Antioquia,Venecia,,alcaldia@venecia.gov.co
05873,Antioquia,Vigía del Fuerte,,alcaldia@vigiadelfuerte.gov.co
05885,Antioquia,Yalí,,alcaldia@yali.gov.co
05887,Antioquia,Yarumal,,alcaldia@yarumal.gov.co
05890,Antioquia,Yolombó,,alcaldia@yolombo.gov.co
05893,Antioquia,Yondó,,alcaldia@yondo.gov.co
05895,Antioquia,Zaragoza,,alcaldia@zaragoza.gov.co
08001,Atlántico,Barranquilla,,alcaldia@barranquilla.gov.co
08078,Atlántico,Baranoa,,alcaldia@baranoa.gov.co
08137,Atlántico,Campo de La Cruz,,alcaldia@campodelacruz.gov.co
08141,Atlántico,Candelaria,,alcaldia@candelaria.gov.co
08296,Atlántico,Galapa,,alcaldia@galapa.gov.co
08372,Atlántico,Juan de Acosta,,alcaldia@juandeacosta.gov.co
08421,Atlántico,Luruaco,,alcaldia@luruaco.gov.co
08433,Atlántico,Malambo,,alcaldia@malambo.gov.co
08436,Atlántico,Manatí,,alcaldia@manati.gov.co
08520,Atlántico,Palmar de Varela,,alcaldia@palmardevarela.gov.co
08549,Atlántico,Piojó,,alcaldia@piojo.gov.co
08558,Atlántico,Polonuevo,,alcaldia@polonuevo.gov.co
08560,Atlántico,Ponedera,,alcaldia@ponedera.gov.co
08573,Atlántico,Puerto Colombia,,alcaldia@puertocolombia.gov.co
08606,Atlántico,Repelón,,alcaldia@repelon.gov.co
08634,Atlántico,Sabanagrande,,alcaldia@sabanagrande.gov.co
08638,Atlántico,Sabanalarga,,alcaldia@sabanalarga.gov.co
08675,Atlántico,Santa Lucía,,alcaldia@santalucia.gov.co
08685,Atlántico,Santo Tomás,,alcaldia@santotomas.gov.co
08758,Atlántico,Soledad,,alcaldia@soledad.gov.co
08770,Atlántico,Suan,,alcaldia@suan.gov.co
08832,Atlántico,Tubará,,alcaldia@tubara.gov.co
08849,Atlántico,Usiacurí,,alcaldia@usiacuri.gov.co
11001,"Bogotá, D.C.",,alcaldia@dc.gov.co
13001,Bolívar,Cartagena,,alcaldia@cartagena.gov.co
13006,Bolívar,Achí,,alcaldia@achi.gov.co
13030,Bolívar,Altos del Rosario,,alcaldia@altosdelrosario.gov.co
13042,Bolívar,Arenal,,alcaldia@arenal.gov.co
13052,Bolívar,Arjona,,alcaldia@arjona.gov.co
13062,Bolívar,Arroyohondo,,alcaldia@arroyohondo.gov.co
13074,Bolívar,Barranco de Loba,,alcaldia@barrancodeloba.gov.co
13140,Bolívar,Calamar,,alcaldia@calamar.gov.co
13160,Bolívar,Cantagallo,,alcaldia@cantagallo.gov.co
13188,Bolívar,Cicuco,,alcaldia@cicuco.gov.co
13212,Bolívar,Córdoba,,alcaldia@cordoba.gov.co
13222,Bolívar,Clemencia,,alcaldia@clemencia.gov.co
13244,Bolívar,El Carmen de Bolívar,,alcaldia@elcarmendebolivar.gov.co
13248,Bolívar,El Guamo,,alcaldia@elguamo.gov.co
13268,Bolívar,El Peñón,,alcaldia@elpenon.gov.co
13300,Bolívar,Hatillo de Loba,,alcaldia@hatillodeloba.gov.co
13430,Bolívar,Magangué,,alcaldia@magangue.gov.co
13433,Bolívar,Mahates,,alcaldia@mahates.gov.co
13440,Bolívar,Margarita,,alcaldia@margarita.gov.co
13442,Bolívar,María La Baja,,alcaldia@marialabaja.gov.co
13458,Bolívar,Montecristo,,alcaldia@montecristo.gov.co
13468,Bolívar,Mompós,,alcaldia@mompos.gov.co
13473,Bolívar,Morales,,alcaldia@morales.gov.co
13549,Bolívar,Pinillos,,alcaldia@pinillos.gov.co
13580,Bolívar,Regidor,,alcaldia@regidor.gov.co
13600,Bolívar,Río Viejo,,alcaldia@rioviejo.gov.co
13620,Bolívar,San Cristóbal,,alcaldia@sancristobal.gov.co
13647,Bolívar,San Estanislao,,alcaldia@sanestanislao.gov.co
13650,Bolívar,San Fernando,,alcaldia@sanfernando.gov.co
13654,Bolívar,San Jacinto,,alcaldia@sanjacinto.gov.co
13655,Bolívar,San Jacinto del Cauca,,alcaldia@sanjacintodelcauca.gov.co
13657,Bolívar,San Juan Nepomuceno,,alcaldia@sanjuannepomuceno.gov.co
13667,Bolívar,San Martín de Loba,,alcaldia@sanmartindeloba.gov.co
13670,Bolívar,San Pablo,,alcaldia@sanpablo.gov.co
13673,Bolívar,Santa Catalina,,alcaldia@santacatalina.gov.co
13683,Bolívar,Santa Rosa,,alcaldia@santarosa.gov.co
13688,Bolívar,Santa Rosa del Sur,,alcaldia@santarosadelsur.gov.co
13744,Bolívar,Simití,,alcaldia@simiti.gov.co
13760,Bolívar,Soplaviento,,alcaldia@soplaviento.gov.co
