nombre,municipio,departamento,codigo_dane
"Fiestas de Abejorral","Abejorral","Antioquia","05002"
"Fiestas de Abriaquí","Abriaquí","Antioquia","05004"
"Fiestas de Alejandría","Alejandría","Antioquia","05021"
"Fiestas de Amagá","Amagá","Antioquia","05030"
"Fiestas de Amalfi","Amalfi","Antioquia","05031"
"Fiestas de Andes","Andes","Antioquia","05034"
"Fiestas de Angelópolis","Angelópolis","Antioquia","05036"
"Fiestas de Angostura","Angostura","Antioquia","05038"
"Fiestas de Anorí","Anorí","Antioquia","05040"
"Fiestas de Anza","Anza","Antioquia","05044"
"Fiestas de Apartadó","Apartadó","Antioquia","05045"
"Fiestas de Arboletes","Arboletes","Antioquia","05051"
"Fiestas de Argelia","Argelia","Antioquia","05055"
"Fiestas de Armenia","Armenia","Antioquia","05059"
"Fiestas de Barbosa","Barbosa","Antioquia","05079"
"Fiestas de Bello","Bello","Antioquia","05088"
"Fiestas de Belmira","Belmira","Antioquia","05086"
"Fiestas de Betania","Betania","Antioquia","05091"
"Fiestas de Betulia","Betulia","Antioquia","05093"
"Fiestas de Briceño","Briceño","Antioquia","05107"
"Fiestas de Buriticá","Buriticá","Antioquia","05113"
"Fiestas de Cáceres","Cáceres","Antioquia","05120"
"Fiestas de Caicedo","Caicedo","Antioquia","05125"
"Fiestas de Caldas","Caldas","Antioquia","05129"
"Fiestas de Campamento","Campamento","Antioquia","05134"
"Fiestas de Cañasgordas","Cañasgordas","Antioquia","05138"
"Fiestas de Caracolí","Caracolí","Antioquia","05142"
"Fiestas de Caramanta","Caramanta","Antioquia","05145"
"Fiestas de Carepa","Carepa","Antioquia","05147"
"Fiestas de Carolina","Carolina","Antioquia","05150"
"Fiestas de Caucasia","Caucasia","Antioquia","05154"
"Fiestas de Chigorodó","Chigorodó","Antioquia","05172"
"Fiestas de Cisneros","Cisneros","Antioquia","05190"
"Fiestas de Ciudad Bolívar","Ciudad Bolívar","Antioquia","05101"
"Fiestas de Cocorná","Cocorná","Antioquia","05197"
"Fiestas de Concepción","Concepción","Antioquia","05206"
"Fiestas de Concordia","Concordia","Antioquia","05209"
"Fiestas de Copacabana","Copacabana","Antioquia","05212"
