nombre,municipio,departamento,codigo_dane
"Fiestas de Santa Rosa de Viterbo","Santa Rosa de Viterbo","Boyacá","15693"
"Fiestas de Santa Sofía","Santa Sofía","Boyacá","15696"
"Fiestas de Sativanorte","Sativanorte","Boyacá","15720"
"Fiestas de Sativasur","Sativasur","Boyacá","15723"
"Fiestas de Siachoque","Siachoque","Boyacá","15740"
"Fiestas de Soatá","Soatá","Boyacá","15753"
"Fiestas de Socha","Socha","Boyacá","15757"
"Fiestas de Socotá","Socotá","Boyacá","15755"
"Fiestas de Sogamoso","Sogamoso","Boyacá","15759"
"Fiestas de Somondoco","Somondoco","Boyacá","15761"
"Fiestas de Sora","Sora","Boyacá","15762"
"Fiestas de Soracá","Soracá","Boyacá","15764"
"Fiestas de Sotaquirá","Sotaquirá","Boyacá","15763"
"Fiestas de Susacón","Susacón","Boyacá","15774"
"Fiestas de Sutamarchán","Sutamarchán","Boyacá","15776"
"Fiestas de Sutatenza","Sutatenza","Boyacá","15778"
"Fiestas de Tasco","Tasco","Boyacá","15790"
"Fiestas de Tenza","Tenza","Boyacá","15798"
"Fiestas de Tibaná","Tibaná","Boyacá","15804"
"Fiestas de Tibasosa","Tibasosa","Boyacá","15806"
"Fiestas de Tinjacá","Tinjacá","Boyacá","15808"
"Fiestas de Tipacoque","Tipacoque","Boyacá","15810"
"Fiestas de Toca","Toca","Boyacá","15814"
"Fiestas de Togüí","Togüí","Boyacá","15816"
"Fiestas de Tópaga","Tópaga","Boyacá","15820"
"Fiestas de Tota","Tota","Boyacá","15822"
"Fiestas de Tunja","Tunja","Boyacá","15001"
"Fiestas de Tununguá","Tununguá","Boyacá","15832"
"Fiestas de Turmequé","Turmequé","Boyacá","15835"
"Fiestas de Tuta","Tuta","Boyacá","15837"
"Fiestas de Tutazá","Tutazá","Boyacá","15839"
"Fiestas de Umbita","Umbita","Boyacá","15842"
"Fiestas de Ventaquemada","Ventaquemada","Boyacá","15861"
"Fiestas de Villa de Leyva","Villa de Leyva","Boyacá","15407"
"Fiestas de Viracachá","Viracachá","Boyacá","15879"
"Fiestas de Zetaquira","Zetaquira","Boyacá","15897"
"Fiestas de Aguadas","Aguadas","Caldas","17013"
"Fiestas de Anserma","Anserma","Caldas","17042"
"Fiestas de Aranzazu","Aranzazu","Caldas","17050"
"Fiestas de Belalcázar","Belalcázar","Caldas","17088"
"Fiestas de Chinchiná","Chinchiná","Caldas","17174"
"Fiestas de Filadelfia","Filadelfia","Caldas","17272"
"Fiestas de La Dorada","La Dorada","Caldas","17380"
"Fiestas de La Merced","La Merced","Caldas","17388"
"Fiestas de Manizales","Manizales","Caldas","17001"
"Fiestas de Manzanares","Manzanares","Caldas","17433"
"Fiestas de Marmato","Marmato","Caldas","17442"
"Fiestas de Marquetalia","Marquetalia","Caldas","17444"
"Fiestas de Marulanda","Marulanda","Caldas","17446"
"Fiestas de Neira","Neira","Caldas","17486"
"Fiestas de Norcasia","Norcasia","Caldas","17495"
"Fiestas de Pácora","Pácora","Caldas","17513"
"Fiestas de Palestina","Palestina","Caldas","17524"
"Fiestas de Pensilvania","Pensilvania","Caldas","17541"
"Fiestas de Riosucio","Riosucio","Caldas","17614"
"Fiestas de Risaralda","Risaralda","Caldas","17616"
"Fiestas de Salamina","Salamina","Caldas","17653"
"Fiestas de Samaná","Samaná","Caldas","17662"
"Fiestas de San José","San José","Caldas","17665"
"Fiestas de Supía","Supía","Caldas","17777"
"Fiestas de Victoria","Victoria","Caldas","17867"
"Fiestas de Villamaría","Villamaría","Caldas","17873"
"Fiestas de Viterbo","Viterbo","Caldas","17877"
"Fiestas de Albania","Albania","Caquetá","18029"
"Fiestas de Belén de Los Andaquies","Belén de Los Andaquies","Caquetá","18094"
"Fiestas de Cartagena del Chairá","Cartagena del Chairá","Caquetá","18150"
"Fiestas de Curillo","Curillo","Caquetá","18205"
"Fiestas de El Doncello","El Doncello","Caquetá","18247"
"Fiestas de El Paujil","El Paujil","Caquetá","18256"
"Fiestas de Florencia","Florencia","Caquetá","18001"
"Fiestas de La Montañita","La Montañita","Caquetá","18410"
"Fiestas de Milán","Milán","Caquetá","18460"
"Fiestas de Morelia","Morelia","Caquetá","18479"
"Fiestas de Puerto Rico","Puerto Rico","Caquetá","18592"
"Fiestas de San José del Fragua","San José del Fragua","Caquetá","18610"
