nombre,municipio,departamento,codigo_dane
"Fiestas de San Juan del Cesar","San Juan del Cesar","La Guajira","44650"
"Fiestas de Uribia","Uribia","La Guajira","44847"
"Fiestas de Urumita","Urumita","La Guajira","44855"
"Fiestas de Villanueva","Villanueva","La Guajira","44874"
"Fiestas de Algarrobo","Algarrobo","Magdalena","47030"
"Fiestas de Aracataca","Aracataca","Magdalena","47053"
"Fiestas de Ariguaní","Ariguaní","Magdalena","47058"
"Fiestas de Cerro San Antonio","Cerro San Antonio","Magdalena","47161"
"Fiestas de Chibolo","Chibolo","Magdalena","47170"
"Fiestas de Ciénaga","Ciénaga","Magdalena","47189"
"Fiestas de Concordia","Concordia","Magdalena","47205"
"Fiestas de El Banco","El Banco","Magdalena","47245"
"Fiestas de El Piñon","El Piñon","Magdalena","47258"
"Fiestas de El Retén","El Retén","Magdalena","47268"
"Fiestas de Fundación","Fundación","Magdalena","47288"
"Fiestas de Guamal","Guamal","Magdalena","47318"
"Fiestas de Nueva Granada","Nueva Granada","Magdalena","47460"
"Fiestas de Pedraza","Pedraza","Magdalena","47541"
"Fiestas de Pijiño del Carmen","Pijiño del Carmen","Magdalena","47545"
"Fiestas de Pivijay","Pivijay","Magdalena","47551"
"Fiestas de Plato","Plato","Magdalena","47555"
"Fiestas de Puebloviejo","Puebloviejo","Magdalena","47570"
"Fiestas de Remolino","Remolino","Magdalena","47605"
"Fiestas de Sabanas de San Angel","Sabanas de San Angel","Magdalena","47660"
"Fiestas de Salamina","Salamina","Magdalena","47675"
"Fiestas de San Sebastián de Buenavista","San Sebastián de Buenavista","Magdalena","47692"
"Fiestas de Santa Ana","Santa Ana","Magdalena","47707"
"Fiestas de Santa Bárbara de Pinto","Santa Bárbara de Pinto","Magdalena","47720"
"Fiestas de Santa Marta","Santa Marta","Magdalena","47001"
"Fiestas de San Zenón","San Zenón","Magdalena","47703"
"Fiestas de Sitionuevo","Sitionuevo","Magdalena","47745"
"Fiestas de Tenerife","Tenerife","Magdalena","47798"
"Fiestas de Zapayán","Zapayán","Magdalena","47960"
"Fiestas de Zona Bananera","Zona Bananera","Magdalena","47980"
"Fiestas de Acacías","Acacías","Meta","50006"
"Fiestas de Barranca de Upía","Barranca de Upía","Meta","50110"
"Fiestas de Cabuyaro","Cabuyaro","Meta","50124"
"Fiestas de Castilla la Nueva","Castilla la Nueva","Meta","50150"
"Fiestas de Cubarral","Cubarral","Meta","50223"
"Fiestas de Cumaral","Cumaral","Meta","50226"
"Fiestas de El Calvario","El Calvario","Meta","50245"
"Fiestas de El Castillo","El Castillo","Meta","50251"
"Fiestas de El Dorado","El Dorado","Meta","50270"
"Fiestas de Fuente de Oro","Fuente de Oro","Meta","50287"
"Fiestas de Granada","Granada","Meta","50313"
"Fiestas de Guamal","Guamal","Meta","50318"
"Fiestas de La Macarena","La Macarena","Meta","50350"
"Fiestas de Lejanías","Lejanías","Meta","50400"
"Fiestas de Mapiripán","Mapiripán","Meta","50325"
"Fiestas de Mesetas","Mesetas","Meta","50330"
"Fiestas de Puerto Concordia","Puerto Concordia","Meta","50450"
"Fiestas de Puerto Gaitán","Puerto Gaitán","Meta","50568"
"Fiestas de Puerto Lleras","Puerto Lleras","Meta","50577"
"Fiestas de Puerto López","Puerto López","Meta","50573"
"Fiestas de Puerto Rico","Puerto Rico","Meta","50590"
"Fiestas de Restrepo","Restrepo","Meta","50606"
"Fiestas de San Carlos de Guaroa","San Carlos de Guaroa","Meta","50680"
"Fiestas de San Juan de Arama","San Juan de Arama","Meta","50683"
"Fiestas de San Juanito","San Juanito","Meta","50686"
"Fiestas de San Martín","San Martín","Meta","50689"
"Fiestas de Uribe","Uribe","Meta","50370"
"Fiestas de Villavicencio","Villavicencio","Meta","50001"
"Fiestas de Vistahermosa","Vistahermosa","Meta","50711"
"Fiestas de Albán","Albán","Nariño","52019"
"Fiestas de Aldana","Aldana","Nariño","52022"
"Fiestas de Ancuyá","Ancuyá","Nariño","52036"
"Fiestas de Arboleda","Arboleda","Nariño","52051"
"Fiestas de Barbacoas","Barbacoas","Nariño","52079"
"Fiestas de Belén","Belén","Nariño","52083"
"Fiestas de Buesaco","Buesaco","Nariño","52110"
"Fiestas de Chachagüí","Chachagüí","Nariño","52240"
"Fiestas de Colón","Colón","Nariño","52203"
"Fiestas de Consaca","Consaca","Nariño","52207"
"Fiestas de Contadero","Contadero","Nariño","52210"
"Fiestas de Córdoba","Córdoba","Nariño","52215"
"Fiestas de Cuaspud","Cuaspud","Nariño","52224"
"Fiestas de Cumbal","Cumbal","Nariño","52227"
"Fiestas de Cumbitara","Cumbitara","Nariño","52233"
"Fiestas de El Charco","El Charco","Nariño","52250"
"Fiestas de El Peñol","El Peñol","Nariño","52254"
"Fiestas de El Rosario","El Rosario","Nariño","52256"
"Fiestas de El Tablón de Gómez","El Tablón de Gómez","Nariño","52258"
"Fiestas de El Tambo","El Tambo","Nariño","52260"
"Fiestas de Francisco Pizarro","Francisco Pizarro","Nariño","52520"
"Fiestas de Funes","Funes","Nariño","52287"
"Fiestas de Guachucal","Guachucal","Nariño","52317"
"Fiestas de Guaitarilla","Guaitarilla","Nariño","52320"
