nombre,municipio,departamento,codigo_dane
"Fiestas de Mistrató","Mistrató","Risaralda","66456"
"Fiestas de Pereira","Pereira","Risaralda","66001"
"Fiestas de Pueblo Rico","Pueblo Rico","Risaralda","66572"
"Fiestas de Quinchía","Quinchía","Risaralda","66594"
"Fiestas de Santa Rosa de Cabal","Santa Rosa de Cabal","Risaralda","66682"
"Fiestas de Santuario","Santuario","Risaralda","66687"
"Fiestas de Aguada","Aguada","Santander","68013"
"Fiestas de Albania","Albania","Santander","68020"
"Fiestas de Aratoca","Aratoca","Santander","68051"
"Fiestas de Barbosa","Barbosa","Santander","68077"
"Fiestas de Barichara","Barichara","Santander","68079"
"Fiestas de Barrancabermeja","Barrancabermeja","Santander","68081"
"Fiestas de Betulia","Betulia","Santander","68092"
"Fiestas de Bolívar","Bolívar","Santander","68101"
"Fiestas de Bucaramanga","Bucaramanga","Santander","68001"
"Fiestas de Cabrera","Cabrera","Santander","68121"
"Fiestas de California","California","Santander","68132"
"Fiestas de Capitanejo","Capitanejo","Santander","68147"
"Fiestas de Carcasí","Carcasí","Santander","68152"
"Fiestas de Cepitá","Cepitá","Santander","68160"
"Fiestas de Cerrito","Cerrito","Santander","68162"
"Fiestas de Charalá","Charalá","Santander","68167"
"Fiestas de Charta","Charta","Santander","68169"
"Fiestas de Chima","Chima","Santander","68176"
"Fiestas de Chipatá","Chipatá","Santander","68179"
"Fiestas de Cimitarra","Cimitarra","Santander","68190"
"Fiestas de Concepción","Concepción","Santander","68207"
"Fiestas de Confines","Confines","Santander","68209"
"Fiestas de Contratación","Contratación","Santander","68211"
"Fiestas de Coromoro","Coromoro","Santander","68217"
"Fiestas de Curití","Curití","Santander","68229"
"Fiestas de El Carmen de Chucurí","El Carmen de Chucurí","Santander","68235"
"Fiestas de El Guacamayo","El Guacamayo","Santander","68245"
"Fiestas de El Peñón","El Peñón","Santander","68250"
"Fiestas de El Playón","El Playón","Santander","68255"
"Fiestas de Encino","Encino","Santander","68264"
"Fiestas de Enciso","Enciso","Santander","68266"
