municipio_codigo_dane,nombre,year,date_start,date_end,descripcion,status,source_name,source_url
70124,"Fiestas de Caimito",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
05895,"Fiestas de Zaragoza",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08078,"Fiestas de Baranoa",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08137,"Fiestas de Campo de La Cruz",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08141,"Fiestas de Candelaria",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08296,"Fiestas de Galapa",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08372,"Fiestas de Juan de Acosta",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08421,"Fiestas de Luruaco",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
76845,"Fiestas de Ulloa",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
76869,"Fiestas de Vijes",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
76890,"Fiestas de Yotoco",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
76892,"Fiestas de Yumbo",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
76895,"Fiestas de Zarzal",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81065,"Fiestas de Arauquita",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81220,"Fiestas de Cravo Norte",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81300,"Fiestas de Fortul",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81591,"Fiestas de Puerto Rondón",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81736,"Fiestas de Saravena",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
81794,"Fiestas de Tame",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85010,"Fiestas de Aguazul",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85015,"Fiestas de Chameza",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85125,"Fiestas de Hato Corozal",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85136,"Fiestas de La Salina",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85139,"Fiestas de Maní",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85162,"Fiestas de Monterrey",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85230,"Fiestas de Orocué",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85250,"Fiestas de Paz de Ariporo",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85263,"Fiestas de Pore",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85279,"Fiestas de Recetor",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85300,"Fiestas de Sabanalarga",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85315,"Fiestas de Sácama",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85325,"Fiestas de San Luis de Palenque",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85400,"Fiestas de Támara",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85410,"Fiestas de Tauramena",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85430,"Fiestas de Trinidad",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
85440,"Fiestas de Villanueva",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86219,"Fiestas de Colón",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86320,"Fiestas de Orito",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86568,"Fiestas de Puerto Asís",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86569,"Fiestas de Puerto Caicedo",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86573,"Fiestas de Leguízamo",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86749,"Fiestas de Sibundoy",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86755,"Fiestas de San Francisco",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86757,"Fiestas de San Miguel",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86760,"Fiestas de Santiago",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86865,"Fiestas de Valle del Guamuez",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
86885,"Fiestas de Villagarzón",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08436,"Fiestas de Manatí",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08520,"Fiestas de Palmar de Varela",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08549,"Fiestas de Piojó",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08558,"Fiestas de Polonuevo",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08560,"Fiestas de Ponedera",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08606,"Fiestas de Repelón",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08634,"Fiestas de Sabanagrande",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08638,"Fiestas de Sabanalarga",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08675,"Fiestas de Santa Lucía",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08685,"Fiestas de Santo Tomás",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08758,"Fiestas de Soledad",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08770,"Fiestas de Suan",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08832,"Fiestas de Tubará",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
08849,"Fiestas de Usiacurí",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
0D.C.,"11001",2026,,,"Fecha referencial: Fiestas de Bogotá",por_verificar,"D.C.","Por definir"
13006,"Fiestas de Achí",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
13030,"Fiestas de Altos del Rosario",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
13042,"Fiestas de Arenal",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
13052,"Fiestas de Arjona",2026,,,"Fecha referencial: Por definir",por_verificar,"Generado automáticamente",""
