Codigo_id,departamento,municipio,Subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3
91001,Amazonas,Leticia,Amazonía,50.000,27,96,Fest. Confraternidad,2026-07-15,Isla Micos,https://goo.gl/maps/am1,Reserva Tanimboca,https://goo.gl/maps/am2,Parque Santander,https://goo.gl/maps/am3,Decalodge,https://wa.me/57310001,Hotel Waira,https://wa.me/57310002,Amazon B&B,https://wa.me/57310003
5001,Antioquia,Medellín,Valle de Aburrá,2.600.000,22,1.495,Feria Flores,2026-08-01,Piedra Peñol,https://goo.gl/maps/an1,Comuna 13,https://goo.gl/maps/an2,Jardín Botánico,https://goo.gl/maps/an3,Click Clack,https://wa.me/57310004,Hotel Movich,https://wa.me/57310005,Selina,https://wa.me/57310006
81001,Arauca,Arauca,Orinoquía,95.000,28,125,Torneo Joropo,2026-12-04,Puente José Páez,https://goo.gl/maps/ar1,Malecón,https://goo.gl/maps/ar2,Parque Isaza,https://goo.gl/maps/ar3,Arauca Capital,https://wa.me/57310007,Hotel San Bar,https://wa.me/57310008,Arauca Plaza,https://wa.me/57310009
8001,Atlántico,Barranquilla,Norte,1.300.000,28,18,Carnaval,2026-02-14,Gran Malecón,https://goo.gl/maps/at1,Ventana Mundo,https://goo.gl/maps/at2,Museo Caribe,https://goo.gl/maps/at3,Dann Carlton,https://wa.me/57310010,Hotel Estelar,https://wa.me/57310011,Hotel El Prado,https://wa.me/57310012
13001,Bolívar,Cartagena,Dique,1.100.000,28,2,Independencia,2026-11-11,Castillo San Felipe,https://goo.gl/maps/bl1,Islas Rosario,https://goo.gl/maps/bl2,Convento Popa,https://goo.gl/maps/bl3,Santa Clara,https://wa.me/57310013,Hotel Hyatt,https://wa.me/57310014,Casa San Agustín,https://wa.me/57310015
15001,Boyacá,Tunja,Centro,185.000,13,2.810,Aguinaldo,2026-12-16,Puente Boyacá,https://goo.gl/maps/by1,Pantano Vargas,https://goo.gl/maps/by2,Catedral Tunja,https://goo.gl/maps/by3,Hotel Hunza,https://wa.me/57310016,Hotel San Ignacio,https://wa.me/57310017,Plaza Vizcaya,https://wa.me/57310018
17001,Caldas,Manizales,Centrosur,458.000,17,2.150,Feria Manizales,2026-01-04,Nevado Ruiz,https://goo.gl/maps/cl1,Recinto Pensamiento,https://goo.gl/maps/cl2,Catedral Basílica,https://goo.gl/maps/cl3,Termales Otoño,https://wa.me/57310019,Hotel Estelar,https://wa.me/57310020,Hotel Carretero,https://wa.me/57310021
18001,Caquetá,Florencia,Cuenca del Caguán,175.000,26,242,Fest. Piedemonte,2026-10-12,Ferry Marco Polo,https://goo.gl/maps/cq1,Salto Caraño,https://goo.gl/maps/cq2,Catedral,https://goo.gl/maps/cq3,Gran Plaza,https://wa.me/57310022,Hotel Amazonia,https://wa.me/57310023,Caquetá Real,https://wa.me/57310024
85001,Casanare,Yopal,Piedemonte,180.000,27,350,Garcero Llano,2026-12-05,Mirador Virgen,https://goo.gl/maps/cs1,Parque Iguana,https://goo.gl/maps/cs2,Museo Hombre,https://goo.gl/maps/cs3,GHL Style,https://wa.me/57310025,Hotel Hampton,https://wa.me/57310026,Estelar Yopal,https://wa.me/57310027
19001,Cauca,Popayán,Centro,318.000,18,1.737,Semana Santa,2026-03-29,Morro Tulcán,https://goo.gl/maps/cu1,Termales Coconuco,https://goo.gl/maps/cu2,Puente Humilladero,https://goo.gl/maps/cu3,Dann Monasterio,https://wa.me/57310028,Hotel Camino Real,https://wa.me/57310029,La Plazuela,https://wa.me/57310030
